ID,Tweet,Affect_Dimension,Intensity_Score,Cleaned_Tweet
2017-En-10869,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",valence,0.55,me being on my dean really saving a lot of ppl bc i dont snap nomore it take so much out of me
2017-En-41349,I'd pay good money to watch someone slap that pout off Candice.,valence,0.36,id pay good money to watch someone slap that pout off candice
2017-En-30250,"I'm due for a big change! I've prayed on it, I think I deserve it #positivity ",valence,0.734,im due for a big change ive prayed on it i think i deserve it
2017-En-30155,Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it,valence,0.815,thank you for teaching me how to live again its been so long since this ride is about to be exhilarating i just know it
2017-En-20653,The 'banter' from Craigen and Sutton on BT is fucking horrid,valence,0.226,the banter from craigen and sutton on bt is fucking horrid
2017-En-21991,I am a third year college student and and English major. Today is the first time I've ever written an essay without having a panic attack,valence,0.719,i am a third year college student and and english major today is the first time ive ever written an essay without having a panic attack
2017-En-20998,Swear all of my guy friends are scaredy cats. You don't do horror movies. You don't do haunted houses. Wtf do you do then?,valence,0.274,swear all of my guy friends are scaredy cats you dont do horror movies you dont do haunted houses wtf do you do then
2017-En-10908,"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",valence,0.594,dont ask you dont get apologies if ive offended you all due respect alan i think youve been fed duff info
2017-En-20188,Scott Dann injured aka my worst nightmare,valence,0.092,scott dann injured aka my worst nightmare
2017-En-21353,@ManUtd Rooney needs to come off! Absolutely dreadful! 🙈🙈🙈 class goal from @carras16 @carras16 showing why he should be in the team!!,valence,0.367,rooney needs to come off absolutely dreadful 🙈🙈🙈 class goal from showing why he should be in the team
2017-En-30288,Thank you @twitter for the balloons today.  #goodday #48,valence,0.786,thank you for the balloons today
2017-En-21676,"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism.",valence,0.37,bilal abood who lives in mesquite texas was sentenced to months in prison for lying to the feds about
2017-En-20317,mmmm i'm kinda sad i hope i can shake this before school,valence,0.21,mmmm im kinda sad i hope i can shake this before school
2017-En-41141,@faye_catherine happy anger sad melancholy confusion #woodspurge,valence,0.234,happy anger sad melancholy confusion
2017-En-30087,@Zerfash — can't wait.' She said cheerfully and grinned.,valence,0.75,— cant wait she said cheerfully and grinned
2017-En-20775,"A liar an a bully for president? They say every vote matter , well  I'm sorry you'll not get my vote until the year 2020",valence,0.328,a liar an a bully for president they say every vote matter well im sorry youll not get my vote until the year
2017-En-10347,@Alanafergusson snap meee,valence,0.446,snap meee
2017-En-41491,"I know I've painted quite a grim picture of your chances. But if you simply stand here, we will both surely die.",valence,0.217,i know ive painted quite a grim picture of your chances but if you simply stand here we will both surely die
2017-En-40595,First weekend of fall; let's see if I can stay disciplined to this seasons goals. #fitness #running #sober #Mindset #firstfriday #family,valence,0.586,first weekend of fall lets see if i can stay disciplined to this seasons goals
2017-En-31473,i swear people dont wanna see me happy like they will try to do anything to fuck up what i got going,valence,0.367,i swear people dont wanna see me happy like they will try to do anything to fuck up what i got going
2017-En-21062,"And I would advise that everyone wait to watch @KevinCanWaitCBS ,or actually don't wait, just don't even watch it because it is #awful",valence,0.086,and i would advise that everyone wait to watch or actually dont wait just dont even watch it because it is
2017-En-21952,♪OLD FISH  #discourage,valence,0.194,♪old fish
2017-En-40632,"@TetraVariations I don't need a mask, but I'll gladly make a donation to help in ur name! Is it Mr. TY Rex or first initial only? #serious",valence,0.516,i dont need a mask but ill gladly make a donation to help in ur name is it mr ty rex or first initial only
2017-En-30891,"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",valence,0.517,our tone of voice were like one direction were thoughtful and timid yet playful
2017-En-30229,Go follow me on Musically @budderlordk1ng I am making a lively. Come and join BFFing and Following ;) See you there!,valence,0.677,go follow me on musically i am making a lively come and join bffing and following see you there
2017-En-30237,"Elinor,' she laughed so little known, all over every body at the brilliant cheerfulness of sweetmeats and a fashion.",valence,0.672,elinor she laughed so little known all over every body at the brilliant cheerfulness of sweetmeats and a fashion
2017-En-30531,The Quarterback' wrecks me every time.. #glee,valence,0.357,the quarterback wrecks me every time
2017-En-30551,"#RIP30 Heaven is rejoicing because they've gained an angel, the Keifer family are in my prayers 💙🙏",valence,0.5,heaven is rejoicing because theyve gained an angel the keifer family are in my prayers 💙🙏
2017-En-31301,@Coffeeking12 @jsavite I was injecting a little levity! The person who tweeted the coke/rape tweet is obviously an idiot,valence,0.345,i was injecting a little levity the person who tweeted the cokerape tweet is obviously an idiot
2017-En-30594,"@CohenDS Yell, 'Bye, garbage!' cheerfully after it.",valence,0.339,yell bye garbage cheerfully after it
2017-En-30574,When your rewatching glee and break down in tears all over again. 😭😢 #glee,valence,0.435,when your rewatching glee and break down in tears all over again 😭😢
2017-En-30552,@DanLanthier That was exhilarating hockey. They're still out if Russia wins in regulation I'm reading. #fuck,valence,0.387,that was exhilarating hockey theyre still out if russia wins in regulation im reading
2017-En-20811,@SueWallace78 peanut butter???? You some kinda pervert?? #awful,valence,0.141,peanut butter you some kinda pervert
2017-En-20134,I don't know how people can binge watch horror films ...ALONE!😓😰,valence,0.35,i dont know how people can binge watch horror films alone😓😰
2017-En-31278,PM nawaz sharif adressed in uno produced mirth among kashmires well done pak wel done nawaz .we want demilterization,valence,0.69,pm nawaz sharif adressed in uno produced mirth among kashmires well done pak wel done nawaz we want demilterization
2017-En-30481,"@IndieWire @cinemaeyehonors #WaltzWithBashir was incredible, tho I think it's more of an #animated film than #documentary about #Lebanon war",valence,0.722,was incredible tho i think its more of an film than about war
2017-En-31137,"Half past midnight, loud banging on our front door, been told about new rape cases in Edinburgh today  #nosleep",valence,0.167,half past midnight loud banging on our front door been told about new rape cases in edinburgh today
2017-En-40177,I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression,valence,0.125,ive returned from the dead with a desire to clean the apartment and eat something that isnt garbage
2017-En-30597,"•Days!'\nHe was itching for a fight..itching for the exhilaration of battle, of almost getting defeated, the adrenaline pumping•\n@RojinHitto",valence,0.621,•daysnhe was itching for a fightitching for the exhilaration of battle of almost getting defeated the adrenaline pumping•n
2017-En-21892,Michael Carrick should start every game for United and England,valence,0.507,michael carrick should start every game for united and england
2017-En-41417,"I truly feel like science has the ability to make a milk out of anything ... cashew milk, hemp milk, pine nut milk, dandelion milk",valence,0.548,i truly feel like science has the ability to make a milk out of anything cashew milk hemp milk pine nut milk dandelion milk
2017-En-30831,Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,valence,0.429,google caffeinean sprightly lengthening into the corridor re seo wgj
2017-En-31193,I'm always smiling so that's why I'm always happy 😂,valence,0.891,im always smiling so thats why im always happy 😂
2017-En-30964,The little sniffle at the end of the song gets me every time. #rejoice,valence,0.774,the little sniffle at the end of the song gets me every time
2017-En-21644,#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,valence,0.431,every minutes ive been saying nope nope id be gone by now move or gtfo so thank you for the
2017-En-30109,You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo,valence,0.781,youre so cute never heard explicits spoken with such elegance
2017-En-31170,I'm so so so excited for #UsernameRegenerated  I can't wait! I wish I could get a signed copy! I'm so happy for you. @Joe_Sugg,valence,0.919,im so so so excited for i cant wait i wish i could get a signed copy im so happy for you
2017-En-30585,Laudrup and his evil white companions rejoice.,valence,0.617,laudrup and his evil white companions rejoice
2017-En-31514,Literally dying &amp; living at the same time as I catch up on @adrian_ver 's twitter. If you aren't following him your life is BASIC. ,valence,0.532,literally dying living at the same time as i catch up on s twitter if you arent following him your life is basic
2017-En-41372,I can't even celebrate my wins or mourn my L's cause first test week is that busy 😕,valence,0.359,i cant even celebrate my wins or mourn my ls cause first test week is that busy 😕
2017-En-31556,"@715d1\nI bought the Steam port of Vice City, and to my delight Billie Jean is on the soundtrack!",valence,0.732,ni bought the steam port of vice city and to my delight billie jean is on the soundtrack
2017-En-10741,when you find out the initiative isn't even a thing 😧 ,valence,0.226,when you find out the initiative isnt even a thing 😧
2017-En-11022,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,valence,0.156,i think your highprofile female colleague would be one in yhat category
2017-En-31025,alternate reality where @PoetryFound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,valence,0.484,alternate reality where has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down
2017-En-41164,I want to pour all my tears on someone right now. So tired of this #upset ,valence,0.113,i want to pour all my tears on someone right now so tired of this
2017-En-30040,@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️,valence,0.823,had more fun than the funniest person in funsville much hilarity as usual thank you ❤️
2017-En-30094,@Jen_Lee @mostlymartha @edotwoods we just found thin mints in a freezer clean. i couldn't be more elated.,valence,0.717,we just found thin mints in a freezer clean i couldnt be more elated
2017-En-10952,@eMilsOnWheels I'm furious 😩😩😩,valence,0.081,im furious 😩😩😩
2017-En-30170,"@mediacrooks @thenewshour @LodhiMaleeha @ndtv @IndiaToday This is hilarious ! Not a Freudian slip, eh !",valence,0.821,this is hilarious not a freudian slip eh
2017-En-31070,Kinda wished I watched mischievous kiss before playful kiss,valence,0.532,kinda wished i watched mischievous kiss before playful kiss
2017-En-31352,"@Irenelove83 heres what we can do, Get Brock and Sable to tag team mr and mrs AWOL and watch with glee",valence,0.55,heres what we can do get brock and sable to tag team mr and mrs awol and watch with glee
2017-En-31483,Happy Birthday shorty. Stay fine stay breezy stay wavy @daviistuart 😘,valence,0.879,happy birthday shorty stay fine stay breezy stay wavy 😘
2017-En-10807,Like hello? I am your first born you must always laugh at my jokes. ,valence,0.5,like hello i am your first born you must always laugh at my jokes
2017-En-10655,"@rabpeel snap, seems to be a problem here",valence,0.233,snap seems to be a problem here
2017-En-22146,@S_Moore24 wow that sounds terrific,valence,0.661,wow that sounds terrific
2017-En-31456,"@Babylonian I convinced my mom to watch it. Killgrave gave her literal nightmares, but watched last episode four times. ",valence,0.55,i convinced my mom to watch it killgrave gave her literal nightmares but watched last episode four times
2017-En-40417,@SandraTXAS @6bird4 @CajunKangaroo @justanavywife please. Or you could be clouded by your passion. Emotion leads you from the truth.,valence,0.5,please or you could be clouded by your passion emotion leads you from the truth
2017-En-10422,Drop Snapchat names #bored #snap #swap #pics,valence,0.362,drop snapchat names
2017-En-31062,"@npagliaro1 That's awesome!  p.s. ok, what are the odds of that, swapping neighborhoods? #hilarious",valence,0.766,thats awesome ps ok what are the odds of that swapping neighborhoods
2017-En-30569,Blake lively is flawless,valence,0.88,blake lively is flawless
2017-En-30664,@OrbsOfJoy plan a date... like a date u find pleasing or smth. fuckign\n\n10/10. because the child will grow to be a ten out of ten,valence,0.565,plan a date like a date u find pleasing or smth fuckignnn because the child will grow to be a ten out of ten
2017-En-30011,It's meant to be!! #happy #happy,valence,0.966,its meant to be
2017-En-30540,#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; ! #isthereahelplineforthis,valence,0.537,has messed with my mind now im anticipating the next episode with
2017-En-20548,@hotpatooties more like quickie divorce #awful,valence,0.086,more like quickie divorce
2017-En-31554,"@yap_yip --an uncertainty. [Halsey teases, her lips curving into a jovial smirk.]",valence,0.422,an uncertainty halsey teases her lips curving into a jovial smirk
2017-En-31383,@BrianaBanksxoxo I send ya a few #playful nibbles 😉,valence,0.679,i send ya a few nibbles 😉
2017-En-30230,@adamrodricks I like your optimism!,valence,0.677,i like your optimism
2017-En-21289,@RussiaInsider Really sad &amp; surprising. 1 side #Russia fighting against #IS &amp; on the other supporting #Pak which is epic centre 4 ,valence,0.267,really sad surprising side fighting against on the other supporting which is epic centre
2017-En-22157,@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho #shocking,valence,0.483,check out the article on on
2017-En-31230,"When ya'll talkin about you know who I don't know who ya'll talkin bout, I'm on the new shit....chuckin up ma deuces......🔥🔥 #kanye ",valence,0.468,when yall talkin about you know who i dont know who yall talkin bout im on the new shitchuckin up ma deuces🔥🔥
2017-En-40294,The new lock sound is grim,valence,0.355,the new lock sound is grim
2017-En-10490,Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi,valence,0.3,take public opinion on revenge with pakistan if govt is unable to decide
2017-En-30483,@OilersFanSean yup I feel dirty cheering,valence,0.629,yup i feel dirty cheering
2017-En-40121,Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans,valence,0.267,another grim compelling news report by on the blockade of aid to the starving in
2017-En-11413,#Violence doesn't fix violence. #pain and #anger are the same reaction in the brain. Cure the pain and the anger will go away.,valence,0.375,doesnt fix violence and are the same reaction in the brain cure the pain and the anger will go away
2017-En-21925,"@ThomasHCrown @laurakfillault As a historic evangelical, I wonder if the Donatists had a point? What dreadful clergy in my fmr. circles.",valence,0.379,as a historic evangelical i wonder if the donatists had a point what dreadful clergy in my fmr circles
2017-En-30989,"@ruthwalford95 you may be right, but since year the bad events begin with B, I'm privately hoping we've got at least C-Z to go 1st #optimism",valence,0.5,you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go st
2017-En-11550,@TalkTalkCare  how on earth can I send an email to you? Very annoyed customer!!! ,valence,0.183,how on earth can i send an email to you very annoyed customer
2017-En-40680,@pxrfectpeach it's got her little pout,valence,0.484,its got her little pout
2017-En-30135,@LindseySanford @simplymeasured this makes me giggle with glee!,valence,0.722,this makes me giggle with glee
2017-En-21814,Marcus Roho is dreadful,valence,0.379,marcus roho is dreadful
2017-En-30973,All the bright places :(,valence,0.565,all the bright places
2017-En-30381,"The return of Matt Damon, and of director Paul Greengrass, brings back all the exhilarating if rather po-faced entertainment to a movie",valence,0.594,the return of matt damon and of director paul greengrass brings back all the exhilarating if rather pofaced entertainment to a movie
2017-En-31335,A hearty thank you to you all for joining in tonight. Some delicious British dishes on your menus. #BeerClub,valence,0.685,a hearty thank you to you all for joining in tonight some delicious british dishes on your menus
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,valence,0.323,final vestiges of my s childhood were just dashed on the shoals of hearing a house cover of tracy chapmans fast car at the dayjob
2017-En-40190,Liam is too distant makes me mourn 😪,valence,0.24,liam is too distant makes me mourn 😪
2017-En-10082,"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",valence,0.177,the liberal outrage over don king saying the nword really angers me the white yuppie progressives can go fuck themselves shame on blacks
2017-En-10153,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,valence,0.286,when you break a record in i wish it didnt say the same shit after every rush like you just broke the record
2017-En-40740,the rappers who stayed true to the game is rich.,valence,0.65,the rappers who stayed true to the game is rich
2017-En-40859,"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",valence,0.138,depressing how despicable trump with no policies campaigning on bigotry rancour can be so close evil immoral disaster
2017-En-30254,Rojo is hilarious,valence,0.71,rojo is hilarious
2017-En-31329,its been ages since ive had shawarma my stomach is #rejoicing,valence,0.823,its been ages since ive had shawarma my stomach is
2017-En-31129,i just spent $40 on big little sis tomorrow and i am beyond happy about it #SAW  #mums,valence,0.883,i just spent on big little sis tomorrow and i am beyond happy about it
2017-En-31182,@rheafraserx took them an awfy long time to spot their goal was disallowed ☺️ #pleasing,valence,0.609,took them an awfy long time to spot their goal was disallowed ☺️
2017-En-10823,I need to stop second guess myself and just go with the first thought and go with it. ,valence,0.433,i need to stop second guess myself and just go with the first thought and go with it
2017-En-20412,@ExpressScripts u shd b embrrssd. u jack up my bp meds twice and it will still take 3-5 days? Not express at all. #expressscripts #horrible,valence,0.172,u shd b embrrssd u jack up my bp meds twice and it will still take days not express at all
2017-En-31140,@matildaswish it's great to see Matilda so happy in her new chair it will provide her with access to lots of new experiences. ,valence,0.859,its great to see matilda so happy in her new chair it will provide her with access to lots of new experiences
2017-En-30662,which always leads to the kind of hilarity average people will never experience - especially during breakups.,valence,0.419,which always leads to the kind of hilarity average people will never experience especially during breakups
2017-En-40768,"Nice to see Balotelli back to his best, good player.. Just lost his way a bit!",valence,0.845,nice to see balotelli back to his best good player just lost his way a bit
2017-En-40184,Hate being sober so I popped two,valence,0.333,hate being sober so i popped two
2017-En-20912,ACT 4 #anxiety &amp; #depression group. @livingwellihc beginning Mon October 17 for 6 weeks. Contact me to register now! #mindfulness #Halifax,valence,0.533,act group beginning mon october for weeks contact me to register now
2017-En-31243,"The feeling of taking someone's life is either scarring or exhilarating, but for people need to realize that we're going to die at some--",valence,0.367,the feeling of taking someones life is either scarring or exhilarating but for people need to realize that were going to die at some
2017-En-11453,"@Pharah_Amari [Reyes snarled in frustrated anger, steel claws flexing dangerously. But she uttered those damning words, it seems to snap --",valence,0.333,reyes snarled in frustrated anger steel claws flexing dangerously but she uttered those damning words it seems to snap
2017-En-21089,@Zen1dfabflake You are all our angelic comrades! ,valence,0.633,you are all our angelic comrades
2017-En-21112,"Study finds #awe &amp; #wonder of something greater than self, leads to #creative boosts of expansive thinking. @outsideonline #write #thoreau",valence,0.633,study finds of something greater than self leads to boosts of expansive thinking
2017-En-10454,@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;,valence,0.276,feel everything she would remember everything evanora hoped this would serve to fuel the creatures anger and run rabid
2017-En-40954,I'm throwing myself straight into American Horror Story so I don't have time to grieve,valence,0.483,im throwing myself straight into american horror story so i dont have time to grieve
2017-En-41270,Way to get a hold of her 😊 #depressing,valence,0.234,way to get a hold of her 😊
2017-En-10320,"@NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already.",valence,0.328,incentivise people to roam the internet being morally offended as if they didnt do it enough already
2017-En-21593,"@ctp It's daunting trying to follow Swift news/trends, and facing mind-shattering patterns/terms left and right. I'm trying to adopt gently.",valence,0.431,its daunting trying to follow swift newstrends and facing mindshattering patternsterms left and right im trying to adopt gently
2017-En-30231,Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,valence,0.633,ryan gosling and eva mendes finally b joyful an funnydont bossdont arguedo everything with kidsgo on mini car trips focus on love
2017-En-20711,"@GlobeChadFinn Sadly, not enough names.  The whole farewell tour situation would make me shy away from good value b et.",valence,0.345,sadly not enough names the whole farewell tour situation would make me shy away from good value b et
2017-En-20456,If I was friends with me I'd hate me SO MUCH with the amount I bully them,valence,0.281,if i was friends with me id hate me so much with the amount i bully them
2017-En-30714,@EngrNabeeel then rejoicing now is a lil' bit prematured dont you think🤔🤔🤔,valence,0.375,then rejoicing now is a lil bit prematured dont you think🤔🤔🤔
2017-En-30339,"@PersephoneOD Her cheerful voice echoed through the grand, familiar home, a smile blossoming on my rosy brims, 'Mom.' I reciprocated the --",valence,0.739,her cheerful voice echoed through the grand familiar home a smile blossoming on my rosy brims mom i reciprocated the
2017-En-10325,"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs",valence,0.242,a little nose irritation and a little more chills on my body im so not into flu into flu into flu
2017-En-30843,The smell of freshly cut grass didn't even cheer me up...boy oh boy,valence,0.371,the smell of freshly cut grass didnt even cheer me upboy oh boy
2017-En-10631,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",valence,0.8,grateful for all the hungry people in my life hungry to learn change grow help etc not sure anybody has it better
2017-En-41341,"Haven't been here a while, been watching lots of TV. Conclusion #whataloadoftat...if I wasn't depressed before afternoon TV is ",valence,0.25,havent been here a while been watching lots of tv conclusion if i wasnt depressed before afternoon tv is
2017-En-30697,@israelradioguy @WearingWelcome @SkipBaylessSux U blocking doesnt diminish the hilarity of his observation.Or your child-like response to it,valence,0.448,u blocking doesnt diminish the hilarity of his observationor your childlike response to it
2017-En-31566,@kaijinboyfriend --while being animated much more recently technology-wise which makes for a very nice combination/look),valence,0.517,while being animated much more recently technologywise which makes for a very nice combinationlook
2017-En-30780,People always tell me that they don't expect me to have anxiety because I'm generally cheerful and don't act the way they expect me to.,valence,0.517,people always tell me that they dont expect me to have anxiety because im generally cheerful and dont act the way they expect me to
2017-En-30139,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol ,valence,0.677,i love parody accounts well done vote for
2017-En-31020,It's an exhilarating feeling. Working hard and feeling accomplished whether they notice or not--- you feel fu*king good 🤑,valence,0.903,its an exhilarating feeling working hard and feeling accomplished whether they notice or not you feel fuking good 🤑
2017-En-31421,"@BeastFireTimdog Same with gaming. Sites leaned PS2 during its heyday, leaned 360 most of last gen. This gen started vitriolic mostly by...",valence,0.548,same with gaming sites leaned ps during its heyday leaned most of last gen this gen started vitriolic mostly by
2017-En-30676,@FlannelJedi This is why I drink and watch You're the Worst as a way to cheer myself up.,valence,0.452,this is why i drink and watch youre the worst as a way to cheer myself up
2017-En-41401,"If Troyler will die, I'm gonna die with them\n#troyler #sadness #fuckin'lifeisnotafairytale",valence,0.094,if troyler will die im gonna die with themn lifeisnotafairytale
2017-En-31270,@strictlysimilak something about English sparkling wine would be good. Or farmhouse cider. Or Italian cocktails. Thanks.,valence,0.742,something about english sparkling wine would be good or farmhouse cider or italian cocktails thanks
2017-En-31183,@rheafraserx took them an awfy long time to spot their goal was disallowed ☺️ ,valence,0.323,took them an awfy long time to spot their goal was disallowed ☺️
2017-En-30061,"By the way, I'm wearing the smile you gave me today. \n #you #me ",valence,0.804,by the way im wearing the smile you gave me today n
2017-En-31224,"Luke 1:14\nHe will be a joy and delight to you, and many will rejoice because of his birth",valence,0.8,luke nhe will be a joy and delight to you and many will rejoice because of his birth
2017-En-31351,Solange is more aesthetically pleasing than your fave.,valence,0.565,solange is more aesthetically pleasing than your fave
2017-En-30628,Being playful as shit😤,valence,0.345,being playful as shit😤
2017-En-31026,@ThatBritishDude no okay you don't not need to be going out of your way to make sure you are pleasing everyone do what makes you happy,valence,0.548,no okay you dont not need to be going out of your way to make sure you are pleasing everyone do what makes you happy
2017-En-11152,@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.,valence,0.25,the nword but i think all afram are entitled to it we shouldnt take away from them the insult they have claimed back
2017-En-31304,@Lil_PowWow @jweiler0528 More fat = more buoyant. Day 1 water stuff,valence,0.518,more fat more buoyant day water stuff
2017-En-20168,@megynkelly We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop.,valence,0.417,we should be ignoring these rioters like the current administration ignores this will obviously make it stop
2017-En-30914,#twd comes on soon #happy,valence,0.932,comes on soon
2017-En-40531,Seeing something that hurt so much in the past in front of me now and not a single sign of grieve. Magicalllll.  ✨,valence,0.452,seeing something that hurt so much in the past in front of me now and not a single sign of grieve magicalllll ✨
2017-En-30550,will i ever get the nerve to quit the restaurant ??? find out tonite on glee!,valence,0.5,will i ever get the nerve to quit the restaurant find out tonite on glee
2017-En-21500,Will do fine on the mat tonight with or without sleep. theres no worry for that on this side of the water,valence,0.5,will do fine on the mat tonight with or without sleep theres no worry for that on this side of the water
2017-En-31559,"@thenthapple Haha I like the optimism cause I'm the same, but it doesn't make this situation any less mind boggling.",valence,0.581,haha i like the optimism cause im the same but it doesnt make this situation any less mind boggling
2017-En-31118,"@tweet_faver its reaper!! before he became reaper, you can find their stories on the wiki and thru the comics and animated shorts!",valence,0.483,its reaper before he became reaper you can find their stories on the wiki and thru the comics and animated shorts
2017-En-31163,Class is canceled due to a funeral. Not sure if it's appropriate to be happy or sad.. #happy,valence,0.483,class is canceled due to a funeral not sure if its appropriate to be happy or sad
2017-En-40303,Add Donte Moncrief to my dismal situation #blessed.,valence,0.5,add donte moncrief to my dismal situation
2017-En-31313,"Our branch will be closed this Sunday, 9/25, in honor of the IRONMAN 70.3 happening in Downtown! Come cheer on race participants!",valence,0.742,our branch will be closed this sunday in honor of the ironman happening in downtown come cheer on race participants
2017-En-31309,"Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy",valence,0.891,well stock finished listed living room moved around new editing done fitted in a visit to the inlaws
2017-En-30735,Does anyone remember a movie that is animated in the late 70's called Shame of the Jungle John Bulushi was in it wild if that's your taste,valence,0.5,does anyone remember a movie that is animated in the late s called shame of the jungle john bulushi was in it wild if thats your taste
2017-En-10308,@everycolorbot more like every color looks the same #triggered #colorblind #offended,valence,0.427,more like every color looks the same
2017-En-30786,Life izn't about pleasing each others...😕\n\n#hell #with #pleasing,valence,0.328,life iznt about pleasing each others😕nn
2017-En-30303,Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know. #rejoicing,valence,0.774,recd call day from haitian church we started in florida some yrs ago preparing to acquire their own bldg wanted me to know
2017-En-30271,Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert #happy,valence,0.704,not untill today has anyone ever said to me they remember what i had on over years ago when they met me n liked me since
2017-En-31002,imagine if teppu got animated by madhouse tho &gt;_&lt;,valence,0.467,imagine if teppu got animated by madhouse tho
2017-En-31240,@1barkcom Thank you for the #follow. Looking forward to your tweets as they look entertaining! #smile #socialmedia,valence,0.768,thank you for the looking forward to your tweets as they look entertaining
2017-En-30488,A good thing about being sick is that coughing is like an ab workout. Maybe my abs will be more defined by the time I'm better 😂😅 #optimism,valence,0.55,a good thing about being sick is that coughing is like an ab workout maybe my abs will be more defined by the time im better 😂😅
2017-En-11542,I'm not use to getting up early asf this shit goin irritate me.,valence,0.217,im not use to getting up early asf this shit goin irritate me
2017-En-31515,Her charm is liveliness but this is also her weakness.,valence,0.516,her charm is liveliness but this is also her weakness
2017-En-30745,Early morning cheerfulness can be extremely obnoxious #ALDUB62ndWeeksary,valence,0.558,early morning cheerfulness can be extremely obnoxious
2017-En-10498,Skipping meals is the national way of showing #disappointment and #anger. #wiz,valence,0.113,skipping meals is the national way of showing and
2017-En-11699,Forgiving means operating with God's spirit &amp; God isn't unforgiving &amp; doesn't hold a grudge. So who am I? Exactly.,valence,0.548,forgiving means operating with gods spirit god isnt unforgiving doesnt hold a grudge so who am i exactly
2017-En-20264,Set n alarm '@Innocentia_T: I wanna nap but I'm scared I'll wake up tomorrow .',valence,0.4,set n alarm i wanna nap but im scared ill wake up tomorrow
2017-En-41184,Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right #pout,valence,0.532,dentist just said to me im going to numb your front lip up so itll feel as if youve got lips like pete burns she was right
2017-En-30456,"“When we give cheerfully and accept gratefully, everyone is blessed.”―Maya Angelou",valence,0.683,“when we give cheerfully and accept gratefully everyone is blessed”―maya angelou
2017-En-40561,@TimewarpArcade @tenpencearcade Do you really have to pedal like a nutter to get anywhere? I remember it being more sedate.,valence,0.377,do you really have to pedal like a nutter to get anywhere i remember it being more sedate
2017-En-11392,@EE your website is making me feel violent rage and your upgrade options aren't helping either. #Aaaaarrrrgghhh #iwanttocancel #rage,valence,0.086,your website is making me feel violent rage and your upgrade options arent helping either
2017-En-30820,hate overthinking e v e r y t h i n g like i jus' wanna be happy pls,valence,0.426,hate overthinking e v e r y t h i n g like i jus wanna be happy pls
2017-En-21670,Projection is perception. See it in someone else? You also at some level have that within you. #anger ,valence,0.25,projection is perception see it in someone else you also at some level have that within you
2017-En-30527,Intermit animated^%%%ncaa pittsburgh vs mississippi sprightly shiny bbva level peg varsity football telly scra...,valence,0.5,intermit animatedncaa pittsburgh vs mississippi sprightly shiny bbva level peg varsity football telly scra
